family,category,productId,productName,brand,currentOfferCount,currentOfferMarkets,targetMarkets,status,realPrice,collectedAt,sourceUrl,notes
arroz,mercearia,arroz-tio-joao-5kg,"Arroz Tio João 5kg","Tio João",8,"Assaí Atacadista Goiabeiras | Atacadão Camburi | BH Supermercados Camburi | Carone Praia da Costa | Casagrande Serra | Extrabom Praia de Campista | MultiShow Vila Velha | Rede Show Cariacica","Assaí Serra | Assaí Atacadista Laranjeiras",weak_coverage,,,,"prioridade teste"
arroz,mercearia,p_arroz_camil_5kg,"Arroz Camil Tipo 1 5kg","Camil",0,"","Assaí Atacadista Goiabeiras | Carone Praia da Costa | Atacadão Camburi | BH Supermercados Camburi | Casagrande Serra | Extrabom Praia de Campista | Assaí Serra | Assaí Atacadista Laranjeiras",missing_offer,,,,"prioridade teste"
arroz,mercearia,p_arroz_pratofino_5kg,"Arroz Prato Fino Tipo 1 5kg","Prato Fino",0,"","Assaí Atacadista Goiabeiras | Carone Praia da Costa | Atacadão Camburi | BH Supermercados Camburi | Casagrande Serra | Extrabom Praia de Campista | Assaí Serra | Assaí Atacadista Laranjeiras",missing_offer,,,,"prioridade teste"
arroz,mercearia,prod_6e032ae791419601,"Arroz Agulhinha Saboroso Tipo 1 Pcte. 5kg","Saboroso",0,"","Assaí Atacadista Goiabeiras | Carone Praia da Costa | Atacadão Camburi | BH Supermercados Camburi | Casagrande Serra | Extrabom Praia de Campista | Assaí Serra | Assaí Atacadista Laranjeiras",missing_offer,,,,"prioridade teste"
arroz,mercearia,prod_9dd23acc62eaaf83,"Arroz Alegre Tipo 1 5kg","Alegre",0,"","Assaí Atacadista Goiabeiras | Carone Praia da Costa | Atacadão Camburi | BH Supermercados Camburi | Casagrande Serra | Extrabom Praia de Campista | Assaí Serra | Assaí Atacadista Laranjeiras",missing_offer,,,,"prioridade teste"
refrigerante,bebidas,refrigerante-coca-2l,"Coca-Cola 2L","Coca-Cola",8,"Assaí Atacadista Goiabeiras | Carone Praia da Costa | Atacadão Camburi | BH Supermercados Camburi | Casagrande Serra | Extrabom Praia de Campista | MultiShow Vila Velha | Rede Show Cariacica","Assaí Serra | Assaí Atacadista Laranjeiras",weak_coverage,,,,"prioridade teste"
refrigerante,bebidas,prod_90b99835ed363811,"Refrigerante Coca-Cola Pet 2,5L","Coca-Cola",0,"","Assaí Atacadista Goiabeiras | Carone Praia da Costa | Atacadão Camburi | BH Supermercados Camburi | Casagrande Serra | Extrabom Praia de Campista | Assaí Serra | Assaí Atacadista Laranjeiras",missing_offer,,,,"prioridade teste"
refrigerante,bebidas,prod_aef6e365283db42a,"Refrigerante Fanta PET 2L","Fanta",0,"","Assaí Atacadista Goiabeiras | Carone Praia da Costa | Atacadão Camburi | BH Supermercados Camburi | Casagrande Serra | Extrabom Praia de Campista | Assaí Serra | Assaí Atacadista Laranjeiras",missing_offer,,,,"prioridade teste"
refrigerante,bebidas,prod_5c178a962c87bf85,"Refrigerante Fanta Sabores","Fanta",0,"","Assaí Atacadista Goiabeiras | Carone Praia da Costa | Atacadão Camburi | BH Supermercados Camburi | Casagrande Serra | Extrabom Praia de Campista | Assaí Serra | Assaí Atacadista Laranjeiras",missing_offer,,,,"prioridade teste"
refrigerante,bebidas,prod_681bea5d9a031409,"Refrigerante Coroa Sabores 2L","Coroa",0,"","Assaí Atacadista Goiabeiras | Carone Praia da Costa | Atacadão Camburi | BH Supermercados Camburi | Casagrande Serra | Extrabom Praia de Campista | Assaí Serra | Assaí Atacadista Laranjeiras",missing_offer,,,,"prioridade teste"
refrigerante,bebidas,prod_7e20ef65a4c2a0d7,"Refrigerante UAI Sabores","UAI",0,"","Assaí Atacadista Goiabeiras | Carone Praia da Costa | Atacadão Camburi | BH Supermercados Camburi | Casagrande Serra | Extrabom Praia de Campista | Assaí Serra | Assaí Atacadista Laranjeiras",missing_offer,,,,"prioridade teste"
shampoo,higiene_pessoal,prod_8fdd8746fa21764b,"Shampoo Dove","Dove",0,"","Assaí Atacadista Goiabeiras | Carone Praia da Costa | Atacadão Camburi | BH Supermercados Camburi | Casagrande Serra | Extrabom Praia de Campista | Assaí Serra | Assaí Atacadista Laranjeiras",missing_offer,,,,"usar só shampoo"
shampoo,higiene_pessoal,prod_a7b009eddf323ace,"Shampoo Palmolive SOS Cuidados Especiais","Palmolive",0,"","Assaí Atacadista Goiabeiras | Carone Praia da Costa | Atacadão Camburi | BH Supermercados Camburi | Casagrande Serra | Extrabom Praia de Campista | Assaí Serra | Assaí Atacadista Laranjeiras",missing_offer,,,,"usar só shampoo"
shampoo,higiene_pessoal,prod_41dda2f81db3465f,"Kit Shampoo + Condicionador Griffus 1L","Griffus",0,"","Assaí Atacadista Goiabeiras | Carone Praia da Costa | Atacadão Camburi | BH Supermercados Camburi | Casagrande Serra | Extrabom Praia de Campista | Assaí Serra | Assaí Atacadista Laranjeiras",missing_offer,,,,"kit cabelo"
